section_id,source_id,heading,start,end,section_sha256,disposition,rationale
SRC-01:P000001,SRC-01,ULTRACODE — MASTER SPECIFICATION CONVERGENCE & IMPLEMENTATION READINESS DIRECTIVE,1,1,47f726ad032089af421f332da473f33b476f6883d7d7c3cc85478422e7fec280,KEEP_GOVERNANCE,Normative governance; unresolved cross-source conflicts remain gated
SRC-01:P000002,SRC-01,0. MISSION,2,7,1ba58bf2389536095b33e4b9ac95c021aba9de2f04e3a8eaf4a880777306d997,KEEP_GOVERNANCE,Normative governance; unresolved cross-source conflicts remain gated
SRC-01:P000008,SRC-01,1. PRIMARY OBJECTIVE,8,43,88156498e754d7154e63874ef05d6ed7011dc2ad9745322f4b4108d3b1d6d8b5,KEEP_GOVERNANCE,Normative governance; unresolved cross-source conflicts remain gated
SRC-01:P000044,SRC-01,2. NON-NEGOTIABLE PRINCIPLE,44,70,0dd43634e37b64380393a08501d93aece394c2ccf692e7279b3f789f5c65a97f,KEEP_GOVERNANCE,Normative governance; unresolved cross-source conflicts remain gated
SRC-01:P000071,SRC-01,3. SOURCE PRIORITY,71,91,1107747c8628c7665d14fa83e7e516eaf44863f6543fe02fc21668ba62bba5d5,KEEP_GOVERNANCE,Normative governance; unresolved cross-source conflicts remain gated
SRC-01:P000092,SRC-01,4. COMPLETE CORPUS EXTRACTION,92,134,bd1bcf211ff046cb48c771258b50793187543e05664613923cfd40e56142213b,KEEP_GOVERNANCE,Normative governance; unresolved cross-source conflicts remain gated
SRC-01:P000135,SRC-01,5. REQUIREMENT NORMALIZATION,135,150,e568a273e905c45547c77cafcc3d34f2f4350f11acb85775644c38b69e5f73de,KEEP_GOVERNANCE,Normative governance; unresolved cross-source conflicts remain gated
SRC-01:P000151,SRC-01,6. DISTINGUISH THE FOLLOWING CLASSES,151,177,1bda24d6720127277f9f5063abe05ad467eb7b53c8548ab476e55f40f0b1544f,KEEP_GOVERNANCE,Normative governance; unresolved cross-source conflicts remain gated
SRC-01:P000178,SRC-01,7. CONTRADICTION AUDIT,178,208,f0fbfc02fddbbcbe9896430e7f0d5342b14c35638804417c51f4e7a8ac507f19,KEEP_GOVERNANCE,Normative governance; unresolved cross-source conflicts remain gated
SRC-01:P000209,SRC-01,8. REPOSITORY REALITY CHECK,209,225,b9ed693078347dba6be8336442ab4d760154a50872c093b7c58808d4033b1181,KEEP_GOVERNANCE,Normative governance; unresolved cross-source conflicts remain gated
SRC-01:P000226,SRC-01,9. ARCHITECTURAL CONVERGENCE,226,250,0ea51b9c15bbb5b3d3ff58249c038fb592995a7439f391685fd3f4f129aac2f2,KEEP_GOVERNANCE,Normative governance; unresolved cross-source conflicts remain gated
SRC-01:P000251,SRC-01,10. AUTONOMY VS AUTHORITY,251,273,00bfa3cb55a3d8d59026d1b618a15371a7e075619645836b1714cf477b64abf9,KEEP_GOVERNANCE,Normative governance; unresolved cross-source conflicts remain gated
SRC-01:P000274,SRC-01,11. MODEL INDEPENDENCE,274,283,410110cf406908d68109b4023c165f8c6f1b830eb115ae47c7dc4fab8961d116,KEEP_GOVERNANCE,Normative governance; unresolved cross-source conflicts remain gated
SRC-01:P000284,SRC-01,12. CAPABILITY SYSTEM,284,313,a530fe08b175146eba90def300f78bf6dfb0f43dba903a7a6e98f401919a0116,KEEP_GOVERNANCE,Normative governance; unresolved cross-source conflicts remain gated
SRC-01:P000314,SRC-01,13. EVIDENCE-FIRST DESIGN,314,342,88329cf59d26b1c302c77523464105a8180da09291acd26c87bb88944b2e468d,KEEP_GOVERNANCE,Normative governance; unresolved cross-source conflicts remain gated
SRC-01:P000343,SRC-01,14. RESEARCH VALIDITY,343,357,000a31be7bc5b1c1b3bbfc515718ac78dbb601abb8ba4fa79f71c81a5ce33fe9,KEEP_GOVERNANCE,Normative governance; unresolved cross-source conflicts remain gated
SRC-01:P000358,SRC-01,15. FAILURE-SAFE OPERATION,358,385,645098d7b4746fde16f128fa80bdd019302dd0d4d4728a9874febec879d24f39,KEEP_GOVERNANCE,Normative governance; unresolved cross-source conflicts remain gated
SRC-01:P000386,SRC-01,16. COST / RESOURCE CONTROL,386,413,2d95eaa6091055d77ad455c8c60d2783768bceca7d1a790accf8ec4e2e9ee5a7,KEEP_GOVERNANCE,Normative governance; unresolved cross-source conflicts remain gated
SRC-01:P000414,SRC-01,17. “PERPETUAL FREE OPERATION” AUDIT,414,432,e039795fc06bb0e47728bdf6866368c7231c7d3d57809ff426c24d60a2d17415,KEEP_GOVERNANCE,Normative governance; unresolved cross-source conflicts remain gated
SRC-01:P000433,SRC-01,18. PERFORMANCE CLAIMS,433,452,1e221b0ecd7ac8b24f1e2d85a630356c98a766f4ec8f4926f58226c60db8f87b,KEEP_GOVERNANCE,Normative governance; unresolved cross-source conflicts remain gated
SRC-01:P000453,SRC-01,19. SECURITY,453,472,7d63b374f6a39c6cd2c5b61ecdf44dcc397a916c6b3413acd029399375dd23aa,KEEP_GOVERNANCE,Normative governance; unresolved cross-source conflicts remain gated
SRC-01:P000473,SRC-01,20. SELF-MODIFICATION,473,484,daef1c99f18969edc817f2371462fc30fadb88e478e8c282cca9189b11c7d70b,KEEP_GOVERNANCE,Normative governance; unresolved cross-source conflicts remain gated
SRC-01:P000485,SRC-01,21. STATE MODEL,485,516,d86821a743bd440f221cd052f8f3146ef0fde22b5d211ecc27c5ac42e1621d68,KEEP_GOVERNANCE,Normative governance; unresolved cross-source conflicts remain gated
SRC-01:P000517,SRC-01,22. GATE SYSTEM,517,537,09b1c83d0fc2dac71a8cdac53c3d1e285d48827e7449ca7efe2ed256b98787c5,KEEP_GOVERNANCE,Normative governance; unresolved cross-source conflicts remain gated
