section_id,source_id,heading,start,end,section_sha256,disposition,rationale
SRC-02A:L000001,SRC-02A,VEA-G3 — SSOT / EXECUTION BOUNDARY,1,12,source_blob:b338cee8f6490ef2140d8fe39af19d92288ce2e0,SCOPE_AUTHORITY,Frozen VEA-G3 experimental SSOT; authority is limited to VEA-G3 experiment scope
SRC-02A:L000013,SRC-02A,0. ABSOLUTE RULE,13,43,source_blob:b338cee8f6490ef2140d8fe39af19d92288ce2e0,SCOPE_AUTHORITY,Frozen VEA-G3 experimental SSOT; authority is limited to VEA-G3 experiment scope
SRC-02A:L000044,SRC-02A,1. PURPOSE,44,61,source_blob:b338cee8f6490ef2140d8fe39af19d92288ce2e0,SCOPE_AUTHORITY,Frozen VEA-G3 experimental SSOT; authority is limited to VEA-G3 experiment scope
SRC-02A:L000062,SRC-02A,2. CURRENT VERIFIED PROJECT STATE,62,99,source_blob:b338cee8f6490ef2140d8fe39af19d92288ce2e0,SCOPE_AUTHORITY,Frozen VEA-G3 experimental SSOT; authority is limited to VEA-G3 experiment scope
SRC-02A:L000100,SRC-02A,3. CURRENT REPOSITORY STATE,100,125,source_blob:b338cee8f6490ef2140d8fe39af19d92288ce2e0,SCOPE_AUTHORITY,Frozen VEA-G3 experimental SSOT; authority is limited to VEA-G3 experiment scope
SRC-02A:L000126,SRC-02A,4. EXPERIMENTAL BOUNDARY,126,179,source_blob:b338cee8f6490ef2140d8fe39af19d92288ce2e0,SCOPE_AUTHORITY,Frozen VEA-G3 experimental SSOT; authority is limited to VEA-G3 experiment scope
SRC-02A:L000180,SRC-02A,5. FROZEN COMPONENTS,180,203,source_blob:b338cee8f6490ef2140d8fe39af19d92288ce2e0,SCOPE_AUTHORITY,Frozen VEA-G3 experimental SSOT; authority is limited to VEA-G3 experiment scope
SRC-02A:L000204,SRC-02A,6. TASK STATE,204,226,source_blob:b338cee8f6490ef2140d8fe39af19d92288ce2e0,SCOPE_AUTHORITY,Frozen VEA-G3 experimental SSOT; authority is limited to VEA-G3 experiment scope
SRC-02A:L000227,SRC-02A,7. EXECUTION STATE,227,255,source_blob:b338cee8f6490ef2140d8fe39af19d92288ce2e0,SCOPE_AUTHORITY,Frozen VEA-G3 experimental SSOT; authority is limited to VEA-G3 experiment scope
SRC-02A:L000256,SRC-02A,8. EMPIRICAL EVIDENCE STATE,256,278,source_blob:b338cee8f6490ef2140d8fe39af19d92288ce2e0,SCOPE_AUTHORITY,Frozen VEA-G3 experimental SSOT; authority is limited to VEA-G3 experiment scope
SRC-02A:L000279,SRC-02A,9. TPS STATUS,279,301,source_blob:b338cee8f6490ef2140d8fe39af19d92288ce2e0,SCOPE_AUTHORITY,Frozen VEA-G3 experimental SSOT; authority is limited to VEA-G3 experiment scope
SRC-02A:L000302,SRC-02A,10. LITERATURE / IDENTIFICATION / COMPARISON BOUNDARY,302,321,source_blob:b338cee8f6490ef2140d8fe39af19d92288ce2e0,SCOPE_AUTHORITY,Frozen VEA-G3 experimental SSOT; authority is limited to VEA-G3 experiment scope
SRC-02A:L000322,SRC-02A,11. EMPIRICAL VALUE,322,347,source_blob:b338cee8f6490ef2140d8fe39af19d92288ce2e0,SCOPE_AUTHORITY,Frozen VEA-G3 experimental SSOT; authority is limited to VEA-G3 experiment scope
SRC-02A:L000348,SRC-02A,12. EVIDENCE HIERARCHY,348,373,source_blob:b338cee8f6490ef2140d8fe39af19d92288ce2e0,SCOPE_AUTHORITY,Frozen VEA-G3 experimental SSOT; authority is limited to VEA-G3 experiment scope
SRC-02A:L000374,SRC-02A,13. SOURCE GOVERNANCE,374,413,source_blob:b338cee8f6490ef2140d8fe39af19d92288ce2e0,SCOPE_AUTHORITY,Frozen VEA-G3 experimental SSOT; authority is limited to VEA-G3 experiment scope
SRC-02A:L000414,SRC-02A,14. REPRODUCIBILITY REQUIREMENT,414,440,source_blob:b338cee8f6490ef2140d8fe39af19d92288ce2e0,SCOPE_AUTHORITY,Frozen VEA-G3 experimental SSOT; authority is limited to VEA-G3 experiment scope
SRC-02A:L000441,SRC-02A,15. RANDOMNESS AND RUN CONTROL,441,458,source_blob:b338cee8f6490ef2140d8fe39af19d92288ce2e0,SCOPE_AUTHORITY,Frozen VEA-G3 experimental SSOT; authority is limited to VEA-G3 experiment scope
SRC-02A:L000459,SRC-02A,16. BASELINE CONTROL,459,488,source_blob:b338cee8f6490ef2140d8fe39af19d92288ce2e0,SCOPE_AUTHORITY,Frozen VEA-G3 experimental SSOT; authority is limited to VEA-G3 experiment scope
SRC-02A:L000489,SRC-02A,17. DATA INTEGRITY,489,511,source_blob:b338cee8f6490ef2140d8fe39af19d92288ce2e0,SCOPE_AUTHORITY,Frozen VEA-G3 experimental SSOT; authority is limited to VEA-G3 experiment scope
